Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,24.000000,33.119999,23.770000,32.250000,29.200432,97724653
2020-03-30,31.200001,37.860001,30.965000,33.529999,30.359390,75660301
2020-04-06,34.005001,35.125000,32.759998,33.625000,31.101185,34877189
2020-04-13,33.625000,34.345001,29.665001,31.020000,28.691713,39243030
2020-04-20,30.629999,33.195000,29.190001,31.860001,29.468664,42011560
2020-04-27,32.000000,34.595001,31.285000,32.849998,30.384357,29419551
2020-05-04,31.000000,33.389999,30.195000,32.985001,30.509224,46687517
2020-05-11,33.500000,33.549999,29.674999,30.860001,28.543722,33089305
2020-05-18,32.000000,33.615002,31.879999,32.669998,30.217865,40245370
2020-05-25,33.115002,34.590000,32.689999,33.625000,31.101185,41975245
2020-06-01,34.465000,38.540001,33.875000,38.334999,35.457664,48982915
2020-06-08,38.560001,39.439999,33.924999,35.095001,32.460854,48237861
2020-06-15,34.000000,36.575001,33.910000,35.689999,33.011192,52042477
2020-06-22,35.400002,36.419998,34.180000,35.145000,32.507099,31710132
2020-06-29,34.439999,35.125000,33.505001,34.639999,32.040005,32514092
2020-07-06,35.250000,35.584999,32.250000,33.320000,31.427143,29864131
2020-07-13,33.834999,34.730000,33.270000,33.825001,31.903454,30848847
2020-07-20,33.369999,33.959999,32.330002,32.650002,30.795208,30262984
2020-07-27,32.555000,33.209999,31.190001,31.299999,29.521896,32220602
2020-08-03,31.875000,33.955002,31.495001,32.794998,30.931965,27429261
2020-08-10,33.005001,34.715000,32.875000,33.500000,31.596920,21795631
2020-08-17,33.590000,33.860001,32.070000,32.360001,30.521681,20887765
2020-08-24,32.570000,34.169998,32.570000,33.299999,31.408279,20366997
2020-08-31,33.680000,34.105000,32.570000,32.965000,31.092310,29450701
2020-09-07,32.950001,33.700001,32.020000,32.514999,30.667873,25559112
2020-09-14,32.660000,32.910000,31.010000,31.110001,29.342691,40333566
2020-09-21,30.850000,30.850000,27.840000,28.059999,26.465958,39955838
2020-09-28,28.270000,29.735001,27.764999,28.209999,27.226538,41439025
2020-10-05,28.764999,30.110001,28.480000,29.950001,28.905880,30312505
2020-10-12,29.809999,30.160000,27.910000,28.455000,27.462997,29402771
2020-10-19,28.340000,28.735001,27.115000,28.080000,27.101070,27607750
2020-10-26,27.410000,27.820000,24.510000,25.820000,24.919859,55358297
2020-11-02,25.930000,28.084999,25.690001,27.629999,26.666758,43711260
2020-11-09,28.055000,33.619999,27.715000,32.645000,31.506926,70610648
2020-11-16,33.125000,35.060001,32.950001,34.500000,33.297256,49923440
2020-11-23,35.119999,38.715000,35.119999,37.700001,36.385700,49428735
2020-11-30,37.369999,37.740002,35.209999,37.689999,36.376045,53370621
2020-12-07,37.599998,37.990002,36.549999,37.020000,35.729404,31580018
2020-12-14,37.490002,37.840000,35.770000,35.990002,34.735313,45356154
2020-12-21,34.735001,36.244999,33.840000,35.889999,34.638798,22489468
2020-12-28,36.119999,36.235001,35.169998,35.299999,34.069366,11061250
2021-01-04,34.900002,37.895000,34.305000,37.485001,36.178192,43721317
2021-01-11,37.200001,37.910000,36.430000,37.095001,36.483925,34690222
2021-01-18,36.459999,37.610001,35.505001,36.220001,35.623341,27810732
2021-01-25,36.415001,36.520000,34.895000,34.895000,34.320168,39182743
2021-02-01,35.099998,35.820000,34.455002,35.070000,34.492283,43369855
2021-02-08,35.380001,36.180000,33.910000,34.974998,34.398846,43269463
2021-02-15,35.599998,37.799999,35.180000,36.950001,36.341316,43795476
2021-02-22,37.055000,39.970001,36.724998,38.375000,37.742840,48608460
2021-03-01,38.980000,41.595001,38.174999,40.974998,40.300007,40030340
2021-03-08,41.544998,42.189999,40.090000,42.189999,41.494991,35710278
2021-03-15,41.994999,42.185001,39.500000,40.230000,39.567280,48188560
2021-03-22,40.000000,40.099998,38.860001,39.439999,38.790295,12060860
