Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,1.395400,1.705000,1.386000,1.566600,1.349237,1127306964
2020-03-30,1.526000,1.543400,1.329200,1.329200,1.144776,1039620351
2020-04-06,1.410000,1.546400,1.393200,1.445000,1.244509,836093979
2020-04-13,1.445000,1.456000,1.346800,1.376200,1.185254,608240304
2020-04-20,1.382400,1.404600,1.317200,1.343800,1.157350,622602998
2020-04-27,1.405200,1.494600,1.373000,1.423000,1.225561,647235265
2020-05-04,1.377600,1.462200,1.360000,1.414000,1.217810,647054755
2020-05-11,1.436400,1.449000,1.342000,1.383800,1.191800,504979783
2020-05-18,1.400000,1.490600,1.387000,1.444600,1.244164,707336428
2020-05-25,1.465000,1.580000,1.437200,1.552400,1.552400,854791943
2020-06-01,1.585000,1.783800,1.553600,1.772800,1.772800,1041478758
2020-06-08,1.790000,1.836000,1.583000,1.622000,1.622000,1043832299
2020-06-15,1.557000,1.738800,1.551800,1.684800,1.684800,923459980
2020-06-22,1.669200,1.738000,1.631000,1.660000,1.660000,618239363
2020-06-29,1.659400,1.774600,1.650000,1.746800,1.746800,587973972
2020-07-06,1.790000,1.814000,1.705000,1.765400,1.765400,474866690
2020-07-13,1.795000,1.852200,1.752000,1.831800,1.831800,592437727
2020-07-20,1.811200,1.934000,1.804000,1.815400,1.815400,653736066
2020-07-27,1.815200,1.835800,1.705000,1.707200,1.707200,541653589
2020-08-03,1.705800,1.874600,1.677600,1.805400,1.805400,994610005
2020-08-10,1.824000,1.900000,1.788800,1.851600,1.851600,523261351
2020-08-17,1.850000,1.858200,1.791000,1.811600,1.811600,404923753
2020-08-24,1.820800,1.867800,1.793200,1.825000,1.825000,493697626
2020-08-31,1.830000,1.845000,1.764400,1.778600,1.778600,594297214
2020-09-07,1.789000,1.822400,1.753400,1.779200,1.779200,535862731
2020-09-14,1.792000,1.794000,1.712200,1.714800,1.714800,558682426
2020-09-21,1.702000,1.710000,1.560000,1.579000,1.579000,587341390
2020-09-28,1.603400,1.633000,1.551200,1.592400,1.592400,413281565
2020-10-05,1.606400,1.689600,1.601000,1.679000,1.679000,459080599
2020-10-12,1.684600,1.687200,1.506000,1.555800,1.555800,502241509
2020-10-19,1.558200,1.594600,1.508400,1.561200,1.561200,381606940
2020-10-26,1.526400,1.565000,1.378600,1.419600,1.419600,607018751
2020-11-02,1.427200,1.658000,1.411400,1.616800,1.616800,751146895
2020-11-09,1.650000,1.872200,1.638400,1.817800,1.817800,1145420227
2020-11-16,1.857400,1.888400,1.826600,1.870400,1.870400,739210411
2020-11-23,1.886000,1.964800,1.860400,1.944600,1.944600,729571430
2020-11-30,1.935000,2.027000,1.912400,1.990600,1.990600,776417807
2020-12-07,1.982000,2.003000,1.914000,1.935800,1.935800,535173572
2020-12-14,1.960200,1.988600,1.920000,1.935200,1.935200,689752749
2020-12-21,1.894000,1.920600,1.836400,1.913000,1.913000,323641707
2020-12-28,1.940000,1.955600,1.909200,1.912600,1.912600,164559318
2021-01-04,1.920000,1.988800,1.870000,1.955000,1.955000,595590820
2021-01-11,1.943600,1.966400,1.886000,1.902000,1.902000,448774308
2021-01-18,1.893600,1.939000,1.855000,1.884200,1.884200,389483150
2021-01-25,1.894400,1.896800,1.781800,1.805200,1.805200,549641111
2021-02-01,1.822000,2.095500,1.810400,2.061000,2.061000,961545742
2021-02-08,2.100000,2.136000,2.060500,2.096000,2.096000,631817554
2021-02-15,2.129000,2.134000,2.061000,2.108500,2.108500,543796636
2021-02-22,2.100000,2.181500,2.074500,2.134000,2.134000,605519598
2021-03-01,2.156500,2.237000,2.146000,2.194500,2.194500,619464404
2021-03-08,2.215500,2.294500,2.208500,2.280500,2.280500,626208789
2021-03-15,2.280500,2.354000,2.251000,2.314000,2.314000,668977402
2021-03-22,2.295500,2.327500,2.266500,2.289000,2.289000,165545714
